,Candida albicans_1,Candida albicans_2,Candida albicans_3,Candida albicans_4,Candida albicans_5,Candida albicans_6,Candida albicans_7,Candida albicans_8,Candida albicans_9,Candida albicans_10,Candida albicans_11,Candida albicans_12,Candida auris_13,Candida auris_14,Candida auris_15,Candida auris_16,Candida auris_17,Candida auris_18,Candida auris_19,Candida auris_20,Candida auris_21,Candida auris_22,Candida auris_23,Candida auris_24,Candida glabrata_25,Candida glabrata_26,Candida glabrata_27,Candida glabrata_28,Candida glabrata_29,Candida glabrata_30,Candida glabrata_31,Candida glabrata_32,Candida glabrata_33,Candida glabrata_34,Candida glabrata_35,Candida glabrata_36,Candida krusei_37,Candida krusei_38,Candida krusei_39,Candida krusei_40,Candida krusei_41,Candida krusei_42,Candida krusei_43,Candida krusei_44,Candida krusei_45,Candida krusei_46,Candida krusei_47,Candida krusei_48,Candida parapsilosis_49,Candida parapsilosis_50,Candida parapsilosis_51,Candida parapsilosis_52,Candida parapsilosis_53,Candida parapsilosis_54,Candida parapsilosis_55,Candida parapsilosis_56,Candida parapsilosis_57,Candida parapsilosis_58,Candida parapsilosis_59,Candida parapsilosis_60,Candida tropicalis_61,Candida tropicalis_62,Candida tropicalis_63,Candida tropicalis_64,Candida tropicalis_65,Candida tropicalis_66,Candida tropicalis_67,Candida tropicalis_68,Candida tropicalis_69,Candida tropicalis_70,Candida tropicalis_71,Candida tropicalis_72
Candida albicans_11,0.0365853658536585,0.0463414634146341,0.0048780487804878,0.0048780487804878,0.0365853658536585,0.0048780487804878,0,0,0.0048780487804878,0,0,0.00731707317073171,0.296028880866426,0.297491039426523,0.293478260869565,0.296028880866426,0.296028880866426,0.296028880866426,0.296028880866426,0.322259136212625,0.296028880866426,0.31986531986532,0.296028880866426,0.293478260869565,0.334140435835351,0.278592375366569,0.308310991957105,0.276595744680851,0.26158940397351,0.321052631578947,0.231707317073171,0.331719128329298,0.316753926701571,0.350806451612903,0.35,0.327272727272727,0.37431693989071,0.375690607734807,0.37431693989071,0.37431693989071,0.375706214689266,0.377049180327869,0.376373626373626,0.394886363636364,0.373961218836565,0.377049180327869,0.355491329479769,0.37431693989071,0.226158038147139,0.227642276422764,0.227642276422764,0.233062330623306,0.227642276422764,0.227642276422764,0.227642276422764,0.227642276422764,0.227642276422764,0.227642276422764,0.227642276422764,0.227642276422764,0.201511335012594,0.201511335012594,0.221105527638191,0.217171717171717,0.21608040201005,0.201511335012594,0.201005025125628,0.206632653061224,0.208542713567839,0.202020202020202,0.201511335012594,0.21356783919598
Candida albicans_12,0.0628683693516699,0.104125736738703,0.0669291338582677,0.0421686746987952,0.103792415169661,0.0466531440162272,0.0514851485148515,0.0648330058939096,0.0648330058939096,0.0667976424361493,0.00731707317073171,0,0.25531914893617,0.256797583081571,0.253048780487805,0.25531914893617,0.25531914893617,0.25531914893617,0.25531914893617,0.280453257790368,0.25531914893617,0.277936962750716,0.25531914893617,0.253048780487805,0.365800865800866,0.303030303030303,0.345238095238095,0.301994301994302,0.290123456790123,0.359338061465721,0.296928327645051,0.360515021459227,0.340740740740741,0.410169491525424,0.35929648241206,0.350253807106599,0.366822429906542,0.347517730496454,0.363849765258216,0.35036496350365,0.370283018867925,0.358620689655172,0.349246231155779,0.3525,0.344186046511628,0.389447236180905,0.326370757180157,0.353881278538813,0.271523178807947,0.267818574514039,0.266365688487585,0.270880361173815,0.266365688487585,0.262931034482759,0.262931034482759,0.264516129032258,0.266365688487585,0.262931034482759,0.262008733624454,0.266365688487585,0.211382113821138,0.205761316872428,0.253191489361702,0.227272727272727,0.247334754797441,0.195473251028807,0.224696356275304,0.214117647058824,0.226337448559671,0.195744680851064,0.204166666666667,0.220302375809935
Candida auris_13,0.251515151515152,0.291793313069909,0.268292682926829,0.25609756097561,0.289719626168224,0.256880733944954,0.264437689969605,0.270516717325228,0.270516717325228,0.277611940298507,0.296028880866426,0.25531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0.320557491289199,0.291497975708502,0.310861423220974,0.291497975708502,0.308333333333333,0.327272727272727,0.183783783783784,0.316151202749141,0.328519855595668,0.294117647058824,0.346570397111913,0.336996336996337,0.282608695652174,0.258358662613982,0.280373831775701,0.283489096573209,0.261904761904762,0.267692307692308,0.278996865203762,0.358395989974937,0.26219512195122,0.301369863013699,0.277258566978193,0.268882175226586,0.296178343949045,0.287925696594427,0.287128712871287,0.287128712871287,0.287128712871287,0.280864197530864,0.280864197530864,0.283076923076923,0.287128712871287,0.280864197530864,0.279874213836478,0.287128712871287,0.265060240963855,0.257575757575758,0.327635327635328,0.26791277258567,0.318471337579618,0.243161094224924,0.289325842696629,0.293548387096774,0.28,0.25531914893617,0.258358662613982,0.277611940298507
Candida auris_14,0.253012048192771,0.293051359516616,0.26969696969697,0.257575757575758,0.291021671826625,0.258358662613982,0.265861027190332,0.27190332326284,0.27190332326284,0.27893175074184,0.297491039426523,0.256797583081571,0,0,0,0,0,0,0,0,0,0,0,0,0.321799307958477,0.293172690763052,0.312267657992565,0.293172690763052,0.309917355371901,0.328519855595668,0.18716577540107,0.31740614334471,0.329749103942652,0.296296296296296,0.347670250896057,0.338181818181818,0.283950617283951,0.259818731117825,0.281733746130031,0.284829721362229,0.263513513513513,0.269113149847095,0.280373831775701,0.355329949238579,0.263636363636364,0.302721088435374,0.278637770897833,0.27027027027027,0.29746835443038,0.289230769230769,0.288524590163934,0.288524590163934,0.288524590163934,0.282208588957055,0.282208588957055,0.284403669724771,0.288524590163934,0.282208588957055,0.28125,0.288524590163934,0.269461077844311,0.262048192771084,0.331444759206799,0.272445820433437,0.322784810126582,0.24773413897281,0.293296089385475,0.298076923076923,0.284403669724771,0.259818731117825,0.262839879154079,0.281899109792285
Candida auris_15,0.249240121580547,0.289634146341463,0.26605504587156,0.253822629969419,0.2875,0.254601226993865,0.26219512195122,0.268292682926829,0.268292682926829,0.275449101796407,0.293478260869565,0.253048780487805,0,0,0,0,0,0,0,0,0,0,0,0,0.318181818181818,0.288617886178862,0.308270676691729,0.288617886178862,0.305439330543933,0.324817518248175,0.179347826086957,0.313793103448276,0.326086956521739,0.290322580645161,0.344202898550725,0.334558823529412,0.280373831775701,0.25609756097561,0.278125,0.28125,0.25938566552901,0.265432098765432,0.276729559748428,0.35678391959799,0.259938837920489,0.298969072164948,0.275,0.266666666666667,0.293929712460064,0.285714285714286,0.28476821192053,0.28476821192053,0.28476821192053,0.278637770897833,0.278637770897833,0.280864197530864,0.28476821192053,0.278637770897833,0.277602523659306,0.28476821192053,0.262839879154079,0.25531914893617,0.325714285714286,0.265625,0.31629392971246,0.240853658536585,0.287323943661972,0.29126213592233,0.277777777777778,0.253048780487805,0.25609756097561,0.275449101796407
Candida auris_16,0.251515151515152,0.291793313069909,0.268292682926829,0.25609756097561,0.289719626168224,0.256880733944954,0.264437689969605,0.270516717325228,0.270516717325228,0.277611940298507,0.296028880866426,0.25531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0.320557491289199,0.291497975708502,0.310861423220974,0.291497975708502,0.308333333333333,0.327272727272727,0.183783783783784,0.316151202749141,0.328519855595668,0.294117647058824,0.346570397111913,0.336996336996337,0.282608695652174,0.258358662613982,0.280373831775701,0.283489096573209,0.261904761904762,0.267692307692308,0.278996865203762,0.358395989974937,0.26219512195122,0.301369863013699,0.277258566978193,0.268882175226586,0.296178343949045,0.287925696594427,0.287128712871287,0.287128712871287,0.287128712871287,0.280864197530864,0.280864197530864,0.283076923076923,0.287128712871287,0.280864197530864,0.279874213836478,0.287128712871287,0.265060240963855,0.257575757575758,0.327635327635328,0.26791277258567,0.318471337579618,0.243161094224924,0.289325842696629,0.293548387096774,0.28,0.25531914893617,0.258358662613982,0.277611940298507
Candida auris_17,0.251515151515152,0.291793313069909,0.268292682926829,0.25609756097561,0.289719626168224,0.256880733944954,0.264437689969605,0.270516717325228,0.270516717325228,0.277611940298507,0.296028880866426,0.25531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0.320557491289199,0.291497975708502,0.310861423220974,0.291497975708502,0.308333333333333,0.327272727272727,0.183783783783784,0.316151202749141,0.328519855595668,0.294117647058824,0.346570397111913,0.336996336996337,0.282608695652174,0.258358662613982,0.280373831775701,0.283489096573209,0.261904761904762,0.267692307692308,0.278996865203762,0.358395989974937,0.26219512195122,0.301369863013699,0.277258566978193,0.268882175226586,0.296178343949045,0.287925696594427,0.287128712871287,0.287128712871287,0.287128712871287,0.280864197530864,0.280864197530864,0.283076923076923,0.287128712871287,0.280864197530864,0.279874213836478,0.287128712871287,0.265060240963855,0.257575757575758,0.327635327635328,0.26791277258567,0.318471337579618,0.243161094224924,0.289325842696629,0.293548387096774,0.28,0.25531914893617,0.258358662613982,0.277611940298507
Candida auris_18,0.251515151515152,0.291793313069909,0.268292682926829,0.25609756097561,0.289719626168224,0.256880733944954,0.264437689969605,0.270516717325228,0.270516717325228,0.277611940298507,0.296028880866426,0.25531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0.320557491289199,0.291497975708502,0.310861423220974,0.291497975708502,0.308333333333333,0.327272727272727,0.183783783783784,0.316151202749141,0.328519855595668,0.294117647058824,0.346570397111913,0.336996336996337,0.282608695652174,0.258358662613982,0.280373831775701,0.283489096573209,0.261904761904762,0.267692307692308,0.278996865203762,0.358395989974937,0.26219512195122,0.301369863013699,0.277258566978193,0.268882175226586,0.296178343949045,0.287925696594427,0.287128712871287,0.287128712871287,0.287128712871287,0.280864197530864,0.280864197530864,0.283076923076923,0.287128712871287,0.280864197530864,0.279874213836478,0.287128712871287,0.265060240963855,0.257575757575758,0.327635327635328,0.26791277258567,0.318471337579618,0.243161094224924,0.289325842696629,0.293548387096774,0.28,0.25531914893617,0.258358662613982,0.277611940298507
Candida auris_19,0.251515151515152,0.291793313069909,0.268292682926829,0.25609756097561,0.289719626168224,0.256880733944954,0.264437689969605,0.270516717325228,0.270516717325228,0.277611940298507,0.296028880866426,0.25531914893617,0,0,0,0,0,0,0,0,0,0,0,0,0.320557491289199,0.291497975708502,0.310861423220974,0.291497975708502,0.308333333333333,0.327272727272727,0.183783783783784,0.316151202749141,0.328519855595668,0.294117647058824,0.346570397111913,0.336996336996337,0.282608695652174,0.258358662613982,0.280373831775701,0.283489096573209,0.261904761904762,0.267692307692308,0.278996865203762,0.358395989974937,0.26219512195122,0.301369863013699,0.277258566978193,0.268882175226586,0.296178343949045,0.287925696594427,0.287128712871287,0.287128712871287,0.287128712871287,0.280864197530864,0.280864197530864,0.283076923076923,0.287128712871287,0.280864197530864,0.279874213836478,0.287128712871287,0.265060240963855,0.257575757575758,0.327635327635328,0.26791277258567,0.318471337579618,0.243161094224924,0.289325842696629,0.293548387096774,0.28,0.25531914893617,0.258358662613982,0.277611940298507
Candida auris_20,0.27683615819209,0.320113314447592,0.292613636363636,0.28125,0.31304347826087,0.282051282051282,0.288951841359773,0.294617563739377,0.294617563739377,0.301675977653631,0.322259136212625,0.280453257790368,0,0,0,0,0,0,0,0,0,0,0,0,0.344051446945338,0.321033210332103,0.336769759450172,0.314606741573034,0.337121212121212,0.351170568561873,0.23444976076555,0.33968253968254,0.352159468438538,0.33175355450237,0.368770764119601,0.36026936026936,0.30635838150289,0.28328611898017,0.304347826086957,0.307246376811594,0.293375394321767,0.292263610315186,0.303206997084548,0.372037914691943,0.286931818181818,0.329113924050633,0.302325581395349,0.292957746478873,0.331360946745562,0.322766570605187,0.324159021406728,0.324159021406728,0.324159021406728,0.316091954022989,0.316091954022989,0.318051575931232,0.324159021406728,0.316091954022989,0.315789473684211,0.324159021406728,0.286118980169972,0.28125,0.346774193548387,0.290322580645161,0.339285714285714,0.267806267806268,0.307692307692308,0.316265060240964,0.302593659942363,0.279202279202279,0.282051282051282,0.302521008403361
